Property,mean +/- sd,n,Source,Notes,cell_type,marker_profile,protocol_id,mean,sd,sem,q_low,q_high,q_low_label,q_high_label,stat_type,unit,source_file,source_location,source_url,data_kind,extraction_method,include_in_validation,include_in_fi_validation,confidence,note_ids,reported_value_raw
AHP Amplitude,14.8 +/- 3.2,10,Burton & Urban (2014),mV,MC,principal_cell,,14.8,3.2,,,,,,mean_sd,mV,MC_TC_spike_frequency_references - 4_mitral_cell_ephys.csv,Committed Burton 2014 legacy mitral-cell summary CSV,,intrinsic_property,legacy_csv,true,false,high,,14.8 +/- 3.2
AHP Amplitude,19.5 +/- 6.2,48,Yu et al. (2015),mV,MC,principal_cell,,19.5,6.2,,,,,,mean_sd,mV,MC_TC_spike_frequency_references - 4_mitral_cell_ephys.csv,Committed Burton 2014 legacy mitral-cell summary CSV,,intrinsic_property,legacy_csv,true,false,high,,19.5 +/- 6.2
AHP Duration,5.2 +/- 1.8,48,Yu et al. (2015),ms,MC,principal_cell,,5.2,1.8,,,,,,mean_sd,ms,MC_TC_spike_frequency_references - 4_mitral_cell_ephys.csv,Committed Burton 2014 legacy mitral-cell summary CSV,,intrinsic_property,legacy_csv,true,false,high,,5.2 +/- 1.8
AHP Duration,58.2 +/- 77.5,35,Burton & Urban (2014),ms,MC,principal_cell,,58.2,77.5,,,,,,mean_sd,ms,MC_TC_spike_frequency_references - 4_mitral_cell_ephys.csv,Committed Burton 2014 legacy mitral-cell summary CSV,,intrinsic_property,legacy_csv,true,false,high,,58.2 +/- 77.5
AP Amplitude,63.2 +/- 10.4,48,Yu et al. (2015),mV,MC,principal_cell,,63.2,10.4,,,,,,mean_sd,mV,MC_TC_spike_frequency_references - 4_mitral_cell_ephys.csv,Committed Burton 2014 legacy mitral-cell summary CSV,,intrinsic_property,legacy_csv,true,false,high,,63.2 +/- 10.4
AP Amplitude,76.2 +/- 5.4,10,Burton & Urban (2014),mV,MC,principal_cell,,76.2,5.4,,,,,,mean_sd,mV,MC_TC_spike_frequency_references - 4_mitral_cell_ephys.csv,Committed Burton 2014 legacy mitral-cell summary CSV,,intrinsic_property,legacy_csv,true,false,high,,76.2 +/- 5.4
AP Half-Width,1.06 +/- 0.2,10,Burton & Urban (2014),ms,MC,principal_cell,,1.06,0.2,,,,,,mean_sd,ms,MC_TC_spike_frequency_references - 4_mitral_cell_ephys.csv,Committed Burton 2014 legacy mitral-cell summary CSV,,intrinsic_property,legacy_csv,true,false,high,,1.06 +/- 0.2
AP Half-Width,1.2 +/- 0.2,48,Yu et al. (2015),ms,MC,principal_cell,,1.2,0.2,,,,,,mean_sd,ms,MC_TC_spike_frequency_references - 4_mitral_cell_ephys.csv,Committed Burton 2014 legacy mitral-cell summary CSV,,intrinsic_property,legacy_csv,true,false,high,,1.2 +/- 0.2
AP Peak,16.4 +/- 9,48,Yu et al. (2015),mV,MC,principal_cell,,16.4,9.0,,,,,,mean_sd,,MC_TC_spike_frequency_references - 4_mitral_cell_ephys.csv,Committed Burton 2014 legacy mitral-cell summary CSV,,intrinsic_property,legacy_csv,true,false,high,,16.4 +/- 9
AP Threshold,-55.2 +/- 3,10,Burton & Urban (2014),mV,MC,principal_cell,,-55.2,3.0,,,,,,mean_sd,mV,MC_TC_spike_frequency_references - 4_mitral_cell_ephys.csv,Committed Burton 2014 legacy mitral-cell summary CSV,,intrinsic_property,legacy_csv,true,false,high,,-55.2 +/- 3
AP Threshold,-46.8 +/- 8.7,48,Yu et al. (2015),mV,MC,principal_cell,,-46.8,8.7,,,,,,mean_sd,mV,MC_TC_spike_frequency_references - 4_mitral_cell_ephys.csv,Committed Burton 2014 legacy mitral-cell summary CSV,,intrinsic_property,legacy_csv,true,false,high,,-46.8 +/- 8.7
Capacitance,235.1 +/- 137.1,48,Yu et al. (2015),pF,MC,principal_cell,,235.1,137.1,,,,,,mean_sd,pF,MC_TC_spike_frequency_references - 4_mitral_cell_ephys.csv,Committed Burton 2014 legacy mitral-cell summary CSV,,intrinsic_property,legacy_csv,true,false,high,,235.1 +/- 137.1
Capacitance,236.4 +/- 94.6,35,Burton & Urban (2014),pF,MC,principal_cell,,236.4,94.6,,,,,,mean_sd,pF,MC_TC_spike_frequency_references - 4_mitral_cell_ephys.csv,Committed Burton 2014 legacy mitral-cell summary CSV,,intrinsic_property,legacy_csv,true,false,high,,236.4 +/- 94.6
FI Curve Slope,196 +/- 76,35,Burton & Urban (2014),Hz/nA - PRIMARY spike-frequency-vs-drive metric,MC,principal_cell,BU2014_MC_TC_2s_0_300pA_50pA,196.0,76.0,,,,,,mean_sd,Hz/nA,MC_TC_spike_frequency_references - 4_mitral_cell_ephys.csv,Committed Burton 2014 legacy mitral-cell summary CSV,,fI_summary_metric,legacy_csv,true,true,high,N_FI_PROTOCOL_DIFFERENCE,196 +/- 76
