Property,mean +/- sd,n,Source,Notes
AHP Amplitude,14.8 +/- 3.2,10,Burton & Urban (2014),mV
AHP Amplitude,19.5 +/- 6.2,48,Yu et al. (2015),mV
AHP Duration,5.2 +/- 1.8,48,Yu et al. (2015),ms
AHP Duration,58.2 +/- 77.5,35,Burton & Urban (2014),ms
AP Amplitude,63.2 +/- 10.4,48,Yu et al. (2015),mV
AP Amplitude,76.2 +/- 5.4,10,Burton & Urban (2014),mV
AP Half-Width,1.06 +/- 0.2,10,Burton & Urban (2014),ms
AP Half-Width,1.2 +/- 0.2,48,Yu et al. (2015),ms
AP Peak,16.4 +/- 9,48,Yu et al. (2015),mV
AP Threshold,-55.2 +/- 3,10,Burton & Urban (2014),mV
AP Threshold,-46.8 +/- 8.7,48,Yu et al. (2015),mV
Capacitance,235.1 +/- 137.1,48,Yu et al. (2015),pF
Capacitance,236.4 +/- 94.6,35,Burton & Urban (2014),pF
FI Curve Slope,196 +/- 76,35,Burton & Urban (2014),Hz/nA - PRIMARY spike-frequency-vs-drive metric
ISI Coefficient of Variation,0.31 +/- 0.33,48,Yu et al. (2015),Dimensionless
ISI Coefficient of Variation,0.45 +/- 0.29,35,Burton & Urban (2014),Dimensionless
Input Resistance,19 +/- 7,5,Hovis et al. (2010),MOhm
Input Resistance,59 +/- 30,29,Abraham et al. (2010),MOhm
Input Resistance,68 +/- 21.9,30,Christie et al. (2005),MOhm
Input Resistance,76.2 +/- 22.3,3,Fukunaga et al. (2012),MOhm
Input Resistance,94.3 +/- 40.5,35,Burton & Urban (2014),MOhm
Input Resistance,128.2 +/- 53.4,48,Yu et al. (2015),MOhm
Input Resistance,240 +/- 110,20,Shpak et al. (2012),MOhm
Input Resistance,299 +/- 135,35,Zibman et al. (2011),MOhm
Membrane Resting Voltage,-74.65 +/- 2.7,20,Shpak et al. (2012),mV
Membrane Resting Voltage,-71.2 +/- 5.5,48,Yu et al. (2015),mV
Membrane Resting Voltage,-66.9 +/- 4,35,Burton & Urban (2014),mV
Membrane Resting Voltage,-57 +/- 17,29,Abraham et al. (2010),mV
Membrane Time Constant,14 +/- 4.5,5,Hovis et al. (2010),ms
Membrane Time Constant,21.3 +/- 9.4,35,Burton & Urban (2014),ms
Membrane Time Constant,28.1 +/- 16.5,48,Yu et al. (2015),ms
Membrane Time Constant,42.5 +/- 16.1,35,Zibman et al. (2011),ms
Rebound Potential Presence,0 +/- 1,35,Burton & Urban (2014),Binary
Rebound Potential Presence,0 +/- 1,35,Johnson & Delaney (2010),Binary
Rheobase Current,111.4 +/- 55.7,35,Burton & Urban (2014),pA
Sag Amplitude,-5 +/- 2.93,6,Hu et al. (2016),mV
Sag Amplitude,-3.8 +/- 4.1,45,Yu et al. (2015),mV
Sag Amplitude,-3.43 +/- 5.8,105,Angelo et al. (2012),mV
Sag Amplitude,-2 +/- 2.6,35,Burton & Urban (2014),mV
Spiking Rate Accommodation,-9.43 +/- 17.83,35,Burton & Urban (2014),Hz - drop in instantaneous rate over a step
Spiking Rate Accommodation,15.9 +/- 24.5,35,Zibman et al. (2011),Hz - sign convention differs
Spiking Rate Accom. Time Constant,113 +/- 58.8,35,Zibman et al. (2011),ms
Spiking Rate Accom. Time Constant,398 +/- 562,35,Burton & Urban (2014),ms
